estado,municipio,clave_inegi,declaratoria_emergencia_ordinaria,declaratoria_emergencia_extraordinaria,declaratoria_desastre,magniud_sismo,fecha_evento
Chiapas,Acacoyagua,07001,,sí,sí,8.2,2017-09-07
Chiapas,Acala,07002,,sí,sí,8.2,2017-09-07
Chiapas,Acapetahua,07003,,sí,sí,8.2,2017-09-07
Chiapas,Altamirano,07004,,sí,sí,8.2,2017-09-07
Chiapas,Amatán,07005,,sí,sí,8.2,2017-09-07
Chiapas,Amatenango de la Frontera,07006,,sí,sí,8.2,2017-09-07
Chiapas,Amatenango del Valle,07007,,sí,sí,8.2,2017-09-07
Chiapas,Angel Albino Corzo,07008,,sí,sí,8.2,2017-09-07
Chiapas,Arriaga,07009,,sí,sí,8.2,2017-09-07
Chiapas,Bejucal de Ocampo,07010,,sí,sí,8.2,2017-09-07
Chiapas,Bella Vista,07011,,sí,sí,8.2,2017-09-07
Chiapas,Berriozábal,07012,,sí,sí,8.2,2017-09-07
Chiapas,Bochil,07013,,sí,sí,8.2,2017-09-07
Chiapas,El Bosque,07014,,sí,sí,8.2,2017-09-07
Chiapas,Cacahoatán,07015,,sí,sí,8.2,2017-09-07
Chiapas,Catazajá,07016,,sí,,8.2,2017-09-07
Chiapas,Cintalapa,07017,,sí,sí,8.2,2017-09-07
Chiapas,Coapilla,07018,,sí,sí,8.2,2017-09-07
Chiapas,Comitán de Domínguez,07019,,sí,sí,8.2,2017-09-07
Chiapas,La Concordia,07020,,sí,sí,8.2,2017-09-07
Chiapas,Copainalá,07021,,sí,sí,8.2,2017-09-07
Chiapas,Chalchihuitán,07022,,sí,sí,8.2,2017-09-07
Chiapas,Chamula,07023,,sí,sí,8.2,2017-09-07
Chiapas,Chanal,07024,,sí,sí,8.2,2017-09-07
Chiapas,Chapultenango,07025,,sí,,8.2,2017-09-07
Chiapas,Chenalhó,07026,,sí,sí,8.2,2017-09-07
Chiapas,Chiapa de Corzo,07027,,sí,sí,8.2,2017-09-07
Chiapas,Chiapilla,07028,,sí,sí,8.2,2017-09-07
Chiapas,Chicoasén,07029,,sí,sí,8.2,2017-09-07
Chiapas,Chicomuselo,07030,,sí,sí,8.2,2017-09-07
Chiapas,Chilón,07031,,sí,,8.2,2017-09-07
Chiapas,Escuintla,07032,,sí,sí,8.2,2017-09-07
Chiapas,Francisco León,07033,,sí,sí,8.2,2017-09-07
Chiapas,Frontera Comalapa,07034,,sí,sí,8.2,2017-09-07
Chiapas,Frontera Hidalgo,07035,,sí,sí,8.2,2017-09-07
Chiapas,La Grandeza,07036,,sí,sí,8.2,2017-09-07
Chiapas,Huehuetán,07037,,sí,sí,8.2,2017-09-07
Chiapas,Huixtán,07038,,sí,sí,8.2,2017-09-07
Chiapas,Huitiupán,07039,,sí,,8.2,2017-09-07
Chiapas,Huixtla,07040,,sí,sí,8.2,2017-09-07
Chiapas,La Independencia,07041,,sí,sí,8.2,2017-09-07
Chiapas,Ixhuatán,07042,,sí,,8.2,2017-09-07
Chiapas,Ixtacomitán,07043,,sí,,8.2,2017-09-07
Chiapas,Ixtapa,07044,,sí,sí,8.2,2017-09-07
